,geometry,species_count
127,POINT (-85.8204549300218 10.94898238098584),0
128,POINT (-85.8204549300218 10.958851780985839),0
129,POINT (-85.8204549300218 10.968721180985838),0
130,POINT (-85.8204549300218 10.978590580985838),0
131,POINT (-85.8204549300218 10.988459980985837),0
132,POINT (-85.8123702300218 10.840418980985845),0
133,POINT (-85.8123702300218 10.850288380985845),16
134,POINT (-85.8123702300218 10.860157780985844),16
135,POINT (-85.8123702300218 10.870027180985844),16
136,POINT (-85.8123702300218 10.879896580985843),16
137,POINT (-85.8123702300218 10.889765980985842),16
138,POINT (-85.8123702300218 10.899635380985842),16
139,POINT (-85.8123702300218 10.909504780985841),16
140,POINT (-85.8123702300218 10.919374180985841),0
141,POINT (-85.8123702300218 10.92924358098584),0
142,POINT (-85.8123702300218 10.93911298098584),0
143,POINT (-85.8123702300218 10.94898238098584),0
144,POINT (-85.8123702300218 10.958851780985839),0
145,POINT (-85.8123702300218 10.968721180985838),0
146,POINT (-85.8123702300218 10.978590580985838),0
147,POINT (-85.8123702300218 10.988459980985837),0
148,POINT (-85.8123702300218 10.998329380985837),0
149,POINT (-85.8042855300218 10.830549580985846),16
150,POINT (-85.8042855300218 10.840418980985845),0
151,POINT (-85.8042855300218 10.850288380985845),16
152,POINT (-85.8042855300218 10.860157780985844),16
153,POINT (-85.8042855300218 10.870027180985844),16
154,POINT (-85.8042855300218 10.879896580985843),16
155,POINT (-85.8042855300218 10.889765980985842),16
156,POINT (-85.8042855300218 10.899635380985842),16
157,POINT (-85.8042855300218 10.909504780985841),16
158,POINT (-85.8042855300218 10.919374180985841),0
159,POINT (-85.8042855300218 10.92924358098584),0
160,POINT (-85.8042855300218 10.93911298098584),0
161,POINT (-85.8042855300218 10.94898238098584),0
162,POINT (-85.8042855300218 10.958851780985839),0
163,POINT (-85.8042855300218 10.968721180985838),0
164,POINT (-85.8042855300218 10.978590580985838),0
165,POINT (-85.8042855300218 10.988459980985837),0
166,POINT (-85.8042855300218 10.998329380985837),0
167,POINT (-85.8042855300218 11.008198780985836),0
168,POINT (-85.7962008300218 10.139691580985883),17
169,POINT (-85.7962008300218 10.149560980985882),17
170,POINT (-85.7962008300218 10.159430380985881),17
171,POINT (-85.7962008300218 10.169299780985881),17
172,POINT (-85.7962008300218 10.17916918098588),17
173,POINT (-85.7962008300218 10.18903858098588),17
174,POINT (-85.7962008300218 10.19890798098588),17
175,POINT (-85.7962008300218 10.830549580985846),16
176,POINT (-85.7962008300218 10.840418980985845),0
177,POINT (-85.7962008300218 10.850288380985845),16
178,POINT (-85.7962008300218 10.860157780985844),16
179,POINT (-85.7962008300218 10.870027180985844),16
180,POINT (-85.7962008300218 10.879896580985843),16
181,POINT (-85.7962008300218 10.889765980985842),16
182,POINT (-85.7962008300218 10.899635380985842),16
183,POINT (-85.7962008300218 10.909504780985841),0
184,POINT (-85.7962008300218 10.919374180985841),0
185,POINT (-85.7962008300218 10.92924358098584),0
186,POINT (-85.7962008300218 10.93911298098584),0
187,POINT (-85.7962008300218 10.94898238098584),0
188,POINT (-85.7962008300218 10.958851780985839),0
189,POINT (-85.7962008300218 10.968721180985838),0
190,POINT (-85.7962008300218 10.978590580985838),0
191,POINT (-85.7962008300218 10.988459980985837),0
192,POINT (-85.7962008300218 10.998329380985837),0
193,POINT (-85.7962008300218 11.008198780985836),0
194,POINT (-85.7881161300218 10.129822180985883),17
195,POINT (-85.7881161300218 10.139691580985883),17
196,POINT (-85.7881161300218 10.149560980985882),17
197,POINT (-85.7881161300218 10.159430380985881),17
198,POINT (-85.7881161300218 10.169299780985881),17
199,POINT (-85.7881161300218 10.17916918098588),17
200,POINT (-85.7881161300218 10.18903858098588),17
201,POINT (-85.7881161300218 10.19890798098588),17
202,POINT (-85.7881161300218 10.208777380985879),17
203,POINT (-85.7881161300218 10.218646780985878),17
204,POINT (-85.7881161300218 10.228516180985878),17
205,POINT (-85.7881161300218 10.238385580985877),17
206,POINT (-85.7881161300218 10.248254980985877),17
207,POINT (-85.7881161300218 10.258124380985876),17
208,POINT (-85.7881161300218 10.267993780985876),17
209,POINT (-85.7881161300218 10.277863180985875),17
210,POINT (-85.7881161300218 10.287732580985875),17
211,POINT (-85.7881161300218 10.297601980985874),17
212,POINT (-85.7881161300218 10.307471380985874),17
213,POINT (-85.7881161300218 10.317340780985873),17
214,POINT (-85.7881161300218 10.327210180985873),17
215,POINT (-85.7881161300218 10.337079580985872),17
216,POINT (-85.7881161300218 10.346948980985871),17
217,POINT (-85.7881161300218 10.356818380985871),17
218,POINT (-85.7881161300218 10.36668778098587),17
219,POINT (-85.7881161300218 10.37655718098587),17
220,POINT (-85.7881161300218 10.38642658098587),17
221,POINT (-85.7881161300218 10.396295980985869),17
222,POINT (-85.7881161300218 10.406165380985868),17
223,POINT (-85.7881161300218 10.416034780985868),17
224,POINT (-85.7881161300218 10.425904180985867),17
225,POINT (-85.7881161300218 10.435773580985867),15
226,POINT (-85.7881161300218 10.445642980985866),0
227,POINT (-85.7881161300218 10.820680180985846),16
228,POINT (-85.7881161300218 10.830549580985846),16
229,POINT (-85.7881161300218 10.840418980985845),16
230,POINT (-85.7881161300218 10.850288380985845),16
231,POINT (-85.7881161300218 10.860157780985844),16
232,POINT (-85.7881161300218 10.870027180985844),16
233,POINT (-85.7881161300218 10.879896580985843),16
234,POINT (-85.7881161300218 10.889765980985842),16
235,POINT (-85.7881161300218 10.899635380985842),16
236,POINT (-85.7881161300218 10.909504780985841),0
237,POINT (-85.7881161300218 10.919374180985841),16
238,POINT (-85.7881161300218 10.92924358098584),0
239,POINT (-85.7881161300218 10.93911298098584),0
240,POINT (-85.7881161300218 10.94898238098584),0
241,POINT (-85.7881161300218 10.958851780985839),0
242,POINT (-85.7881161300218 10.968721180985838),0
243,POINT (-85.7881161300218 10.978590580985838),0
244,POINT (-85.7881161300218 10.988459980985837),0
245,POINT (-85.7881161300218 10.998329380985837),0
246,POINT (-85.7881161300218 11.008198780985836),0
247,POINT (-85.7881161300218 11.018068180985836),0
248,POINT (-85.78003143002181 10.110083380985884),17
249,POINT (-85.78003143002181 10.119952780985884),17
250,POINT (-85.78003143002181 10.129822180985883),17
251,POINT (-85.78003143002181 10.139691580985883),17
252,POINT (-85.78003143002181 10.149560980985882),17
253,POINT (-85.78003143002181 10.159430380985881),17
254,POINT (-85.78003143002181 10.169299780985881),17
255,POINT (-85.78003143002181 10.17916918098588),17
256,POINT (-85.78003143002181 10.18903858098588),17
257,POINT (-85.78003143002181 10.19890798098588),17
258,POINT (-85.78003143002181 10.208777380985879),17
259,POINT (-85.78003143002181 10.218646780985878),17
260,POINT (-85.78003143002181 10.228516180985878),17
261,POINT (-85.78003143002181 10.238385580985877),17
262,POINT (-85.78003143002181 10.248254980985877),17
263,POINT (-85.78003143002181 10.258124380985876),17
264,POINT (-85.78003143002181 10.267993780985876),17
265,POINT (-85.78003143002181 10.277863180985875),17
266,POINT (-85.78003143002181 10.287732580985875),17
267,POINT (-85.78003143002181 10.297601980985874),17
268,POINT (-85.78003143002181 10.307471380985874),17
269,POINT (-85.78003143002181 10.317340780985873),17
270,POINT (-85.78003143002181 10.327210180985873),17
271,POINT (-85.78003143002181 10.337079580985872),17
272,POINT (-85.78003143002181 10.346948980985871),17
273,POINT (-85.78003143002181 10.356818380985871),17
274,POINT (-85.78003143002181 10.36668778098587),17
275,POINT (-85.78003143002181 10.37655718098587),17
276,POINT (-85.78003143002181 10.38642658098587),17
277,POINT (-85.78003143002181 10.396295980985869),17
278,POINT (-85.78003143002181 10.406165380985868),17
279,POINT (-85.78003143002181 10.416034780985868),17
280,POINT (-85.78003143002181 10.425904180985867),17
281,POINT (-85.78003143002181 10.435773580985867),17
282,POINT (-85.78003143002181 10.445642980985866),0
283,POINT (-85.78003143002181 10.455512380985866),0
