,Amphibians,Reptiles,Mammals
347,17,34,99
348,17,34,99
349,17,34,99
350,17,34,99
351,17,33,99
352,17,33,100
353,17,33,100
354,17,34,100
355,17,33,100
356,17,33,100
357,17,33,100
358,17,33,100
359,17,33,101
360,17,34,101
361,17,34,101
362,17,34,100
363,17,34,100
364,17,34,100
365,17,34,100
366,17,34,100
367,17,35,100
368,17,36,100
369,17,37,99
370,17,37,99
371,17,38,99
372,17,39,99
373,17,40,99
374,17,40,99
375,17,40,99
376,17,41,100
377,17,41,100
378,17,41,99
379,0,7,26
380,0,7,26
381,17,12,89
382,17,15,101
383,0,4,26
384,0,4,26
385,0,4,26
386,0,4,26
387,0,6,26
388,18,49,104
389,17,49,104
390,16,50,105
391,16,50,105
392,16,50,106
393,16,50,107
394,16,50,107
395,16,50,109
396,16,52,109
397,16,52,109
398,16,53,111
399,16,52,112
400,15,52,112
401,15,52,101
402,15,53,112
403,15,53,111
404,16,53,113
405,16,50,112
406,17,33,99
407,17,34,99
408,17,34,99
409,17,34,99
410,17,33,99
411,17,33,100
412,17,33,100
413,17,33,100
414,17,34,100
415,17,34,101
416,17,33,101
417,17,33,101
418,17,33,102
419,17,33,101
420,17,34,101
421,17,34,101
422,17,34,100
423,17,34,100
424,17,34,100
425,17,34,100
426,17,34,100
427,17,36,100
428,17,37,100
429,17,37,100
430,17,38,99
431,17,38,99
432,17,39,99
433,17,39,99
434,17,39,100
435,17,41,100
436,17,41,100
437,17,41,100
438,17,41,100
439,17,37,89
440,0,7,26
441,0,7,26
442,17,13,101
443,17,13,90
444,17,25,101
445,17,49,103
446,17,49,103
447,18,49,104
448,18,49,104
449,18,50,104
450,17,51,104
451,16,51,105
452,16,51,105
453,16,51,106
454,16,51,107
455,16,51,108
456,16,51,109
457,16,54,109
458,16,54,109
459,16,52,111
460,16,52,112
461,16,52,113
462,15,52,113
463,15,53,112
464,15,53,112
465,15,53,113
466,16,53,113
467,17,33,99
468,17,33,99
469,17,33,99
470,17,33,99
471,17,33,100
472,17,33,100
473,17,33,100
474,17,33,100
475,17,34,100
476,17,34,101
477,17,33,101
478,17,32,102
479,17,32,102
480,17,32,102
481,17,33,101
482,17,34,101
483,17,34,100
484,17,34,100
485,17,34,100
486,17,35,100
487,17,35,100
488,17,36,100
489,17,37,100
490,17,37,100
491,17,38,99
492,17,39,99
493,17,39,99
494,17,40,100
495,17,41,100
496,17,41,100
497,17,42,100
498,17,42,100
499,17,42,101
500,17,43,101
501,17,44,101
502,0,6,26
503,17,47,102
504,17,48,103
505,17,49,103
506,17,49,103
507,17,50,103
508,17,50,104
509,18,51,104
510,18,51,105
511,19,51,106
512,18,51,105
513,16,51,105
514,16,51,106
515,16,51,108
516,16,51,108
517,16,51,109
518,16,53,109
519,16,53,109
520,16,51,111
521,16,51,112
522,16,51,113
523,15,51,113
524,15,52,112
525,15,52,112
526,15,52,113
527,15,52,113
528,16,52,114
529,17,33,99
530,17,33,99
531,17,33,99
532,17,32,99
533,17,33,99
534,17,33,100
535,17,33,100
536,17,33,100
537,17,33,100
538,17,34,101
539,17,32,101
540,17,33,101
541,17,32,102
542,17,32,102
543,17,32,102
544,17,33,101
545,17,34,101
546,17,34,100
547,17,34,100
548,17,34,100
549,17,35,100
550,17,35,100
551,17,36,100
552,17,37,100
553,17,39,100
554,17,39,100
555,17,39,99
556,17,40,100
557,17,41,100
558,17,41,100
559,17,41,100
560,17,41,100
561,17,42,100
562,17,42,101
563,17,43,101
564,17,45,102
565,17,46,103
566,17,48,103
567,17,49,104
568,17,50,104
569,17,51,104
570,17,51,104
571,17,52,105
572,18,52,105
573,18,52,106
574,19,52,107
575,18,52,107
576,18,52,108
577,16,52,109
578,16,52,109
579,16,52,110
580,16,51,110
581,16,53,110
582,16,52,110
583,16,52,111
584,16,51,112
585,16,51,113
586,16,51,113
587,15,52,112
588,15,51,112
589,15,51,114
590,15,51,114
591,16,52,114
592,16,51,114
593,17,32,99
594,17,33,99
595,17,32,99
596,17,32,99
597,17,33,100
598,17,33,100
599,17,33,100
600,17,33,100
601,17,34,100
602,17,33,101
603,17,32,101
604,17,33,102
605,17,33,102
606,17,32,102
607,17,32,102
608,17,33,101
609,17,33,101
610,17,34,100
611,17,34,100
612,17,34,100
613,17,35,100
614,17,35,100
615,17,37,100
616,17,39,100
617,17,39,100
618,17,39,101
619,17,40,100
620,17,41,100
621,17,41,100
622,17,41,100
623,17,41,100
624,17,41,100
625,17,41,100
626,17,43,102
627,17,44,102
628,17,46,103
629,17,47,103
630,17,49,103
631,17,49,104
632,17,50,104
633,17,50,104
634,17,50,104
635,17,51,106
636,17,52,107
637,18,53,107
638,19,53,107
639,19,53,109
640,18,53,110
641,17,54,111
642,16,53,111
643,16,52,112
644,16,53,111
645,16,52,111
646,16,52,113
647,16,52,112
648,16,52,113
649,16,51,114
650,16,52,115
651,15,51,114
652,15,51,114
653,15,51,114
654,16,50,115
655,16,51,115
656,16,51,115
657,17,32,99
658,17,32,99
659,17,32,99
660,17,32,100
661,17,33,100
662,17,33,100
663,17,33,100
664,17,33,100
665,17,33,100
666,17,33,101
667,17,33,101
668,17,33,102
669,17,33,102
670,17,33,102
671,17,32,102
672,17,33,101
673,17,33,101
674,17,34,100
675,17,34,100
676,17,34,100
677,17,35,100
678,17,36,100
679,17,37,100
680,17,39,100
681,17,39,101
682,17,39,101
683,17,40,100
684,17,41,100
685,17,41,100
686,17,41,100
687,17,41,100
688,17,41,100
689,17,41,102
690,17,43,102
691,17,44,103
692,17,46,103
693,17,46,103
694,17,48,103
695,17,48,104
696,17,50,104
697,17,51,105
698,17,52,105
699,17,53,107
700,17,54,108
701,17,53,108
702,19,54,108
703,19,55,109
704,18,55,111
705,18,54,111
706,17,53,111
707,16,52,112
708,16,52,112
709,16,52,112
710,16,52,113
711,16,52,114
712,17,52,114
713,17,51,115
714,17,51,115
715,16,51,114
716,16,50,114
717,16,50,114
